name,wer,wer_n,cer,cer_n,transcription,prediction
p363_001,0.0,0.0,15.789473684210526,15.0,Please call Stella.,please call stella
p363_002,0.0,0.0,3.7037037037037033,3.6363636363636362,Ask her to bring these things with her from the store., ask her to bring these things with her from the store
p363_003,0.0,0.0,1.9607843137254901,1.9230769230769231,"Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob."," Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother, Bob"
p363_004,0.0,0.0,1.4925373134328357,1.4705882352941175,We also need a small plastic snake and a big toy frog for the kids., We also need a small plastic snake and a big toy frog for the kids
p363_005,15.0,15.0,19.41747572815534,18.181818181818183,"She can scoop these things into three red bags, and we will go meet her Wednesday at the train station."," she can scup these things into three red bags, and we will go meet her Wednesday at the translation"
p363_006,29.411764705882355,29.411764705882355,20.689655172413794,18.556701030927837,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow."," When the sunlight strikes raindrops in the air, the actors are prison and form a rainbow"
p363_007,0.0,0.0,2.941176470588235,2.898550724637681,The rainbow is a division of white light into many beautiful colors., the rainbow is a division of white light into many beautiful colors
p363_008,9.090909090909092,9.090909090909092,3.4482758620689653,3.418803418803419,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon."," These take the shape of a long round arc, with its path high above, and its too ends apparently beyond the horizon"
p363_009,0.0,0.0,3.076923076923077,3.0303030303030303,"There is , according to legend, a boiling pot of gold at one end.","there is , according to legend, a boiling pot of gold at one end"
p363_010,0.0,0.0,5.263157894736842,5.128205128205128,"People look, but no one ever finds it."," people look, but no one ever finds it"
p363_011,23.076923076923077,20.0,16.8,14.383561643835616,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow."," When a man looks for something beyond his reach, his friend say he is looking at and hes looking for the pot of gold at the end of the rainbow"
p363_012,0.0,0.0,2.666666666666667,2.5974025974025974,Throughout the centuries people have explained the rainbow in various ways.," Throughout the centuries, people have explained the rainbow in various ways"
p363_013,0.0,0.0,3.125,3.076923076923077,Some have accepted it as a miracle without physical explanation., some have accepted it as a miracle without physical explanation
p363_014,6.666666666666667,6.666666666666667,9.333333333333334,9.210526315789473,To the Hebrews it was a token that there would be no more universal floods.," to the hibrus, it was a token that there would be no more universal floods"
p363_015,5.263157894736842,5.263157894736842,10.0,9.89010989010989,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain., the greeks used to imagine that it was a sign from the gods to fautella war or heavy rain
p363_016,14.285714285714285,13.636363636363635,6.306306306306306,6.0344827586206895,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky., the Norseman considered the rainbow is a bridge over which the gods passed from the earth to their home in the sky
p363_017,0.0,0.0,3.6363636363636362,3.571428571428571,Others have tried to explain the phenomenon physically., others have tried to explain the phenomenon physically
p363_018,6.25,6.25,2.2222222222222223,2.197802197802198,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain., Aristotle thought that the rainbow was caused by reflection of the son's rays by the rain
p363_019,5.263157894736842,5.263157894736842,4.23728813559322,4.166666666666666,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows."," since then, physicists have found that it is not reflection, but reflection by the raindrops which causes the rainbows"
p363_020,0.0,0.0,1.7241379310344827,1.694915254237288,Many complicated ideas about the rainbow have been formed., Many complicated ideas about the rainbow have been formed
p363_021,3.571428571428571,4.545454545454546,3.79746835443038,3.75,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases."," the difference in the rainbow depends considerably upon the size of the drops, and the width of the coloured band increases as the size of the drops increases"
p363_022,15.789473684210526,15.0,17.82178217821782,17.142857142857142,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows., the actual primary rainbow absurd is said to be the effect of super in position of a number of bows
p363_023,0.0,0.0,1.6853932584269662,1.6574585635359116,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow."," if the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally-wide yellow band, since red and green light when mixed form yellow"
p363_024,0.0,0.0,0.9803921568627451,0.9708737864077669,"This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue."," This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue"
p363_025,20.0,20.0,13.793103448275861,13.333333333333334,It's never been to committee.,its never been to committee
p363_026,0.0,0.0,2.5,2.4390243902439024,Everyone is taking a breath and waiting., Everyone is taking a breath and waiting
p363_027,16.666666666666664,16.666666666666664,13.513513513513514,13.157894736842104,"It was actually very, very difficult."," it is actually very, very difficult"
p363_028,20.0,20.0,22.22222222222222,21.428571428571427,The proposals were not new., the proposals are not new
p363_029,0.0,0.0,5.714285714285714,5.555555555555555,He scored one goal and was on fire., he scored one goal and was on fire
p363_030,0.0,0.0,8.333333333333332,8.0,His party never arrived., his party never arrived
p363_031,0.0,0.0,2.272727272727273,2.2222222222222223,Visitors are directed instantly to the shop., Visitors are directed instantly to the shop
